identifier,serie,title,date,langue
oai:persee:article/icocm_0000-0003_1931_alb_1_1_850_t1_0034_0000_1,Albums iconographiques du Caire moderne,"36. Villa of Dr. M. Rida Bey, Zamalek",1931,fre
oai:persee:article/icocm_0000-0003_1931_alb_1_1_850_t1_0039_0000_2,Albums iconographiques du Caire moderne,"41. School of the Feminist Union, Cairo. (Back of Lecture and Celebrations Hall)",1931,fre
oai:persee:article/ameri_0982-9237_1986_num_1_1_892,América : Cahiers du CRICCAL,Où en est le théâtre chicano,1986,fre
oai:persee:article/ameri_0982-9237_1987_num_2_1_902,América : Cahiers du CRICCAL,Le conte dans les premiers journaux du Rio de la Plata,1987,fre
oai:persee:article/ameri_0982-9237_1987_num_2_1_916,América : Cahiers du CRICCAL,"""Luvina"" ou le spectre d'une création et d'une écriture",1987,fre
oai:persee:article/anata_1018-1946_1997_num_5_1_875,Anatolia Antiqua,Quelques nouvelles amphores timbrées de Sinope,1997,fre
oai:persee:article/anata_1018-1946_1998_num_6_1_1122,Anatolia Antiqua,Table des matières,1998,fre
oai:persee:article/anata_1018-1946_1993_num_2_1_852,Anatolia Antiqua,Introduction à la céramique du Haut-Euphrate au Bronze Ancien,1993,fre
oai:persee:article/anatm_1297-8094_1991_num_1_1_854,Anatolia moderna - Yeni anadolu,"Blak Bey, précurseur du Tanzimat. Une famille française au service de la Sublime Porte (1820-1923)",1991,fre
oai:persee:article/anatm_1297-8094_1991_num_1_1_858,Anatolia moderna - Yeni anadolu,Rapports d’Ibrâhîm Paşa sur sa campagne d’Anatolie orientale et d’Azerbaïdjan,1991,fre
oai:persee:article/anatm_1297-8094_1991_num_2_1_892,Anatolia moderna - Yeni anadolu,"""La voix du bektachisme"" : une revue bektachie albanaise publiée aux États-Unis (1954-1955)",1991,fre
oai:persee:article/ahess_0395-2649_2002_num_57_6_280129_t1_1639_0000_1,Annales,Peter Coss (dir.) The Moral World of the Law,2002,fre
oai:persee:article/ahess_0395-2649_2002_num_57_6_280117,Annales,Présentation,2002,fre
oai:persee:article/ahess_0395-2649_2002_num_57_6_280123,Annales,"Droit et bon droit. Un droit des ouvriers instauré, puis évincé par le droit du travail (France, XIXe siècle)",2002,fre
oai:persee:article/ethio_0066-2127_1955_num_1_1_1238,Annales d'Ethiopie,Objectifs des recherches sur la peinture religieuse éthiopienne,1955,fre
oai:persee:article/ethio_0066-2127_1955_num_1_1_1223,Annales d'Ethiopie,Table des matières,1955,fre
oai:persee:article/ethio_0066-2127_1955_num_1_1_1236,Annales d'Ethiopie,Arabie du Sud et Afrique — Examen d'une hypothèse récente,1955,fre
oai:persee:article/valah_1584-1855_1999_num_1_1_1301,"Annales d'Université ""Valahia"" Târgovişte. Section d'Archéologie et d'Histoire.",Quelques mots sur “Le chenal de vieux” de Târgoviste,1999,fre
oai:persee:article/valah_1584-1855_1999_num_1_1_1309,"Annales d'Université ""Valahia"" Târgovişte. Section d'Archéologie et d'Histoire.",Le rôle de préfixes en l’antonymie latine,1999,fre
oai:persee:article/valah_1584-1855_1999_num_1_1_1318,"Annales d'Université ""Valahia"" Târgovişte. Section d'Archéologie et d'Histoire.","Maria Georgescu, ""Arta epocii brâncovenesti"", The art of Brâncoveanu’epoch. Editura Macarie, Târgoviste, 1996, contains 224 pages with 32 plates",1999,fre
oai:persee:article/abpo_0003-391x_1902_num_18_4_1159,Annales de Bretagne et des pays de l'Ouest,"Affaire d'envoûtement au Tribunal d'Inquisition de Tours, intervention de Benoît XII (1335-1337)",1902,fre
oai:persee:article/abpo_0003-391x_1902_num_18_1_1144,Annales de Bretagne et des pays de l'Ouest,Notes d'étymologie bretonne (suite),1902,fre
oai:persee:article/abpo_0003-391x_1902_num_18_4_4101_t1_0607_0000_1,Annales de Bretagne et des pays de l'Ouest,André Giffard. — Les justices seigneuriales en Bretagne aux XVIIe et XVIIIe siècles (1661-1791),1902,fre
oai:persee:article/geo_0003-4010_1892_num_2_5_7386,Annales de Géographie,Etat de nos connaissances sur l'Amérique du Sud,1892,fre
oai:persee:article/geo_0003-4010_1892_num_2_5_7378,Annales de Géographie,L'hydrographie des eaux douces.,1892,fre
oai:persee:article/geo_0003-4010_1892_num_2_5_7456,Annales de Géographie,L'exposition géographique de Moscou,1892,fre
oai:persee:article/aopo_2022-8635_1858_num_1_1_1232,Annales de l'observatoire de Paris. Observations,"Ascensions droites et distances polaires du centre du Soleil, conclues des observations. 1800-1829",1858,fre
oai:persee:article/aopo_2022-8635_1858_num_1_1_1261,Annales de l'observatoire de Paris. Observations,"Ascensions droites et distances polaires de Junon, conclues des observations. 1804-1812",1858,fre
oai:persee:article/aopo_2022-8635_1858_num_1_1_1256,Annales de l'observatoire de Paris. Observations,"Ascensions droites et distances polaires de Jupiter, conclues des observations. 1800-1827",1858,fre
oai:persee:article/annor_0003-4134_1955_num_5_3_6515,Annales de Normandie,A propos de la maison normande : du Pays de Caux au Bocage Normand,1955,fre
oai:persee:article/annor_0570-1600_1979_hos_11_1_3839,Annales de Normandie,"Valeur de la terre, production agricole et marché urbain au milieu du XVIIIe siècle",1979,fre
oai:persee:article/annor_0003-4134_1955_num_5_3_6521,Annales de Normandie,Bibliographie,1955,fre
oai:persee:article/anami_0003-4398_1891_num_3_10_3041_t1_0261_0000_4,"Annales du Midi : revue archéologique, historique et philologique de la France méridionale","Recueil général et complet des fabliaux des treizième et quatorzième siècles, imprimés ou inédits, publiés avec notes et variantes d'après les manuscrits, par MM. Anatole de Montaiglon et Gaston Raynaud. Paris, librairie des Bibliophiles, 1872-1890",1891,fre
oai:persee:article/anami_0003-4398_1891_num_3_10_3034,"Annales du Midi : revue archéologique, historique et philologique de la France méridionale",Sur trois chartes albigeoises concernant les origines de l'ordre de Saint-Jean de Jérusalem,1891,fre
oai:persee:article/anami_0003-4398_1891_num_3_10_3043,"Annales du Midi : revue archéologique, historique et philologique de la France méridionale",Chronique,1891,fre
oai:persee:article/ahrf_0003-4436_1966_num_186_1_981,Annales historiques de la Révolution française,"Léouzon le Duc - Lettres de M. Kageneck au baron Alstromer, sur le règne de Louis XVI de 1779 à 1784. ; Lescure - La correspondance secrète inédite sur Louis XVI, Marie-Antoinette, la Cour et la Ville, de 1777 à 1792.",1966,fre
oai:persee:article/ahrf_0003-4436_1966_num_186_1_977,Annales historiques de la Révolution française,[Anonyme]. - Sur une brochure intitulée Code de la nature,1966,fre
oai:persee:article/ahrf_0003-4436_1966_num_186_1_976,Annales historiques de la Révolution française,"R. Estivals - La statistique bibliographique de la France sous la monarchie, au XVIIIe siècle.",1966,fre
oai:persee:article/anisl_0570-1716_1966_num_6_1_903,Annales islamologiques,Index des Tabaqāt de Shaʿrāni (pour la fin du IXe et le début du Xe s. H.).,1966,fre
oai:persee:article/anisl_0570-1716_1969_num_8_1_920,Annales islamologiques,Fêtes et jeux au Caire,1969,fre
oai:persee:article/anisl_0570-1716_1969_num_8_1_925,Annales islamologiques,"Le Caire, nouvelle métropole.",1969,fre
oai:persee:article/coloc_0291-4700_1981_num_1_1_873,Annuaire des Collectivités Locales,Chapitre III. — Les Associations d'élus,1981,fre
oai:persee:article/coloc_0291-4700_1981_num_1_1_878,Annuaire des Collectivités Locales,Chapitre VII. — Chronique législative et réglementaire,1981,fre
oai:persee:article/coloc_0291-4700_1981_num_1_1_887,Annuaire des Collectivités Locales,Chapitre XIV. — Colloques et séminaires,1981,fre
oai:persee:article/afdi_0066-3085_1955_num_1_1_1143,Annuaire français de droit international,La condition internationale de la République fédérale d'Allemagne Occidentale après les Accords de Paris,1955,fre
oai:persee:article/afdi_0066-3085_1955_num_1_1_1146,Annuaire français de droit international,Les relations entre les Etats-Unis et la République de Panama,1955,fre
oai:persee:article/afdi_0066-3085_1955_num_1_1_1156,Annuaire français de droit international,L'administration du Viet-Nam Sud dans le cadre des Accords de Genève,1955,fre
oai:persee:article/aijc_0995-3817_1987_num_1_1985_923,Annuaire international de justice constitutionnelle,Portugal,1987,fre
oai:persee:article/aijc_0995-3817_1987_num_1_1985_908,Annuaire international de justice constitutionnelle,Belgique,1987,fre
oai:persee:article/aijc_0995-3817_1987_num_1_1985_917,Annuaire international de justice constitutionnelle,Les bases constitutionnelles de l'organisation universitaire en Grèce selon la Cour spéciale suprême,1987,fre
oai:persee:article/ephe_0000-0002_1888_num_4_1_20474,Annuaires de l'École pratique des hautes études,Section des sciences religieuses,1888,fre
oai:persee:article/ephe_0000-0002_1886_num_2_1_19147,Annuaires de l'École pratique des hautes études,École française de Rome,1886,fre
oai:persee:article/ephe_0000-0002_1874_num_1_1_20649,Annuaires de l'École pratique des hautes études,Laboratoire d'enseignement pour la Minéralogie,1874,fre
oai:persee:article/antaf_0066-4871_1967_num_1_1_885,Antiquités africaines,Note sur la contribution de la numismatique à la connaissance de la Maurétanie tingitane,1967,fre
oai:persee:article/antaf_0066-4871_1967_num_1_1_879,Antiquités africaines,Introduction,1967,fre
oai:persee:article/antaf_0066-4871_1969_num_3_1_905,Antiquités africaines,Amphores de Byzacène au Bas-Empire. I. Due tipi d'anfora africani,1969,fre
oai:persee:article/nauti_0154-1854_1986_num_6_1_894,Archaeonautica,Note sur le calfatage : la chose et le mot,1986,fre
oai:persee:article/nauti_0154-1854_1978_num_2_1_871,Archaeonautica,Un nouveau document sur le vin de Bétique,1978,fre
oai:persee:article/nauti_0154-1854_1977_mon_1_1_923,Archaeonautica,L'épave Port-Vendres II et le commerce de la Bétique à l'époque de Claude,1977,fre
oai:persee:article/arnil_1161-0492_1992_num_2_1_1167,Archéo-Nil. Revue de la société pour l'étude des cultures prépharaoniques de la vallée du Nil,"Les sépultures de Kerma, Soudan (3000-1500 B.C.) : apport de l’anthropologie",1992,fre
oai:persee:article/arnil_1161-0492_1992_num_2_1_1166,Archéo-Nil. Revue de la société pour l'étude des cultures prépharaoniques de la vallée du Nil,Origines du peuplement de l’Égypte ancienne : l’apport de l’anthropobiologie,1992,fre
oai:persee:article/arnil_1161-0492_1991_num_1_1_1150,Archéo-Nil. Revue de la société pour l'étude des cultures prépharaoniques de la vallée du Nil,"Dieu masqué, dieu sans tête",1991,fre
oai:persee:article/amime_0758-7708_1989_num_7_1_1193,Archéologie du Midi Médiéval,Fouille de la place Antonin Poncet à Lyon,1989,fre
oai:persee:article/amime_0758-7708_2000_num_18_1_954,Archéologie du Midi Médiéval,Le compoix de Lodève de 1401 à l'épreuve de la cartographie. (Représentation spatiale des activités économiques et de la propriété foncière),2000,fre
oai:persee:article/amime_0758-7708_2007_num_25_1_1650,Archéologie du Midi Médiéval,L’occupation antique et médiévale du site de l’Horto : observations géoarchéologiques et archéologiques,2007,fre
oai:persee:article/arch_0044-8613_1971_num_1_1_919,Archipel,"Liste des communications présentées au Congrès de Culture malaise (Puntjak, avril 1971)",1971,fre
oai:persee:article/arch_0044-8613_1971_num_1_1_932,Archipel,Nikita Siberoff Literature of Java,1971,fre
oai:persee:article/arch_0044-8613_1971_num_1_1_922,Archipel,Ki Hadjar Dewantara et l'association des civilisations,1971,fre
oai:persee:article/assr_0003-9659_1956_num_1_1_1938,Archives de Sciences Sociales des Religions,"Bibliographie Joachim Wach (Dr J.M. Kitagawa, Pr F. Heiler, Dr Neumann)",1956,fre
oai:persee:article/assr_0003-9659_1956_num_1_1_2518_t1_0197_0000_1,Archives de Sciences Sociales des Religions,Delleport (J.J.) De priesterroepingen jn Nederland. Proeve van een statistisch-sociografische analyse,1956,fre
oai:persee:article/assr_0003-9659_1956_num_1_1_1944,Archives de Sciences Sociales des Religions,Thèses et mémoires présentés en France de 1940 à 1954 et touchant à la sociologie des religions,1956,fre
oai:persee:article/arcpa_0000-0000_1879_num_5_1_2917,Archives parlementaires,Cahier de la noblesse du pays de Soûle,1879,fre
oai:persee:article/arcpa_0000-0000_1879_num_1_1_1548,Archives parlementaires,Cahier de la noblesse du bailliage d'Amiens,1879,fre
oai:persee:article/arcpa_0000-0000_1879_num_1_1_2965,Archives parlementaires,"Règlement fait par le roi pour l'exécution de ses lettres de convocation aux prochains Etats généraux dans le Béarn, du 19 février 1789.",1879,fre
oai:persee:article/alma_0994-8090_1924_num_1_1_2437,Archivum Latinitatis Medii Aevi,Pays-Bas,1924,fre
oai:persee:article/alma_0994-8090_1924_num_1_1_2431,Archivum Latinitatis Medii Aevi,France,1924,fre
oai:persee:article/alma_0994-8090_1924_num_1_1_1984,Archivum Latinitatis Medii Aevi,Glossary of Du Cange : addenda et corrigenda,1924,fre
oai:persee:article/aremo_1955-6713_2007_num_1_1_854,Aremorica. Études sur l'ouest de la Gaule romaine,La «villa» maritime de Mané-Véchen à Plouhinec (Morbihan),2007,fre
oai:persee:article/aremo_1955-6713_2007_num_1_1_855,Aremorica. Études sur l'ouest de la Gaule romaine,L’établissement antique de Plomarc’h Pella à Douarnenez (Finistère) : un ensemble représentatif des établissements de salaisons romains de la baie,2007,fre
oai:persee:article/aremo_1955-6713_2007_num_1_1_852,Aremorica. Études sur l'ouest de la Gaule romaine,Sanctuaires et structures vicinales dans deux chefs-lieux de cités de l’ouest de la Gaule (à propos de quatre inscriptions de Nantes et Angers),2007,fre
oai:persee:article/arasi_0004-3958_1966_num_13_1_951,Arts asiatiques,Note sur une école cambodgienne de statuaire bouddhique inspirée de l'art d'Angkor Vat,1966,fre
oai:persee:article/arasi_0004-3958_1969_num_20_1_1009,Arts asiatiques,Recherches archéologiques en Thaïlande. [II. Rapport sommaire de la Mission 1965 (26 juillet-28 novembre)],1969,fre
oai:persee:article/arasi_0004-3958_1966_num_14_1_955,Arts asiatiques,Les peintures turcomanes et ṣafavies d'une Khamseh de Niẓâmî achevée à Tabrîz en 886/1481,1966,fre
oai:persee:article/arzan_1243-3616_1992_num_1_1_856,Arzanà,La trivialisation du Roman de la Rose dans le Fiore,1992,fre
oai:persee:article/arzan_1243-3616_1994_num_2_1_861,Arzanà,Utrum riserit Dantes ?,1994,fre
oai:persee:article/arzan_1243-3616_1997_num_4_1_873,Arzanà,"Vision d'amour et lumières du rêve : Decameron , IV, 5 ; IV, 6 ; IX, 7",1997,fre
oai:persee:article/asdi_1662-4653_2007_num_2_1_882,ASDIWAL. Revue genevoise d'anthropologie et d'histoire des religions ,Activités de l’unité d’histoire des religions de Genève (2006-2007),2007,fre
oai:persee:article/asdi_1662-4653_2006_num_1_1_855,ASDIWAL. Revue genevoise d'anthropologie et d'histoire des religions ,Un voyage dans l’improbable : le Mystery Park d’Interlaken / A Journey in the Unlikely: The Mystery Park of Interlaken,2006,fre
oai:persee:article/asdi_1662-4653_2006_num_1_1_858,ASDIWAL. Revue genevoise d'anthropologie et d'histoire des religions ,Cuisine kwakiutl / Kwakiutl Cuisine,2006,fre
oai:persee:article/asean_0859-9009_1998_num_1_1_1576,Aséanie,Introduction et commentaires,1998,fre
oai:persee:article/asean_0859-9009_1997_num_0_1_1558,Aséanie,Editorial : Une revue francophone en sciences humaines sur l'Asie du Sud-Est,1997,fre
oai:persee:article/asean_0859-9009_1998_num_1_1_1577,Aséanie,"Comment s'est peuplé le Siam, ce qu'est aujourd'hui sa population (publié en 1903 dans le Bulletin du Comité de l'Asie Française)",1998,fre
oai:persee:article/aster_0297-9373_1985_num_1_1_888,"Aster, recherches en didactique des sciences expérimentales",Un instrument d'analyse des modèles implicites de l'enseignement scientifique chez les enseignants,1985,fre
oai:persee:article/aster_0297-9373_1986_num_2_1_902,"Aster, recherches en didactique des sciences expérimentales",Enseignement de l'énergie. Une recherche pluridisciplinaire de l'INRP,1986,fre
oai:persee:article/aster_0297-9373_1985_num_1_1_898,"Aster, recherches en didactique des sciences expérimentales",Sumarios,1985,fre
oai:persee:article/autog_0005-0970_1966_num_1_1_889,Autogestions,Perspectives de l’autogestion en Algérie,1966,fre
oai:persee:article/autog_0005-0970_1967_num_2_1_905,Autogestions,Un faux dilemme : intéressement matériel ou autogestion,1967,fre
oai:persee:article/autog_0005-0970_1966_num_1_1_886,Autogestions,Henri Lefebvre ouvre le débat sur la théorie de l'autogestion,1966,fre
oai:persee:article/chris_0753-2776_1984_num_2_1_941,Autres Temps,Idéologie et utopie : sœurs ennemies ou triangle inachevé ?,1984,fre
oai:persee:article/chris_0753-2776_1984_num_4_1_989,Autres Temps,Le rouge et le noir selon Resnais,1984,fre
oai:persee:article/chris_0753-2776_1984_num_3_1_958,Autres Temps,Les confessions de foi « évangéliques »,1984,fre
oai:persee:article/btcgi_0000-0009_2012_num_21_1_4776,Bibliografia topografica della colonizzazione greca in Italia e nelle Isole Tirreniche,VITO SOLDANO,2012,fre
oai:persee:article/btcgi_0000-0009_2012_num_21_1_4771,Bibliografia topografica della colonizzazione greca in Italia e nelle Isole Tirreniche,VIGNANELLO,2012,fre
oai:persee:article/btcgi_0000-0009_2012_num_21_1_4784,Bibliografia topografica della colonizzazione greca in Italia e nelle Isole Tirreniche,XIPHONIA,2012,fre
oai:persee:article/bah_0768-2506_1955_cat_61_41_1559,Bibliothèque archéologique et historique,"Inscriptions grecques et latines de la Syrie. Tome IV – Laodicée, Apamène, Nos 1243-1997. Chronologie des inscriptions datées des tomes I-IV",1955,fre
oai:persee:article/bah_0768-2506_2011_cat_194_132_1572,Bibliothèque archéologique et historique,Inscriptions grecques et latines de la Syrie. Tome XIII – fascicule 2. Bostra (supplément) et la plaine de la Nuqrah [Liminaire],2011,fre
oai:persee:article/bah_0768-2506_2008_cat_183_111_1569,Bibliothèque archéologique et historique,Inscriptions grecques et latines de la Syrie. Tome XI - Mont Hermon (Liban et Syrie),2008,fre
oai:persee:article/bec_0373-6237_1901_num_62_1_461142_t1_0114_0000_2,Bibliothèque de l'école des chartes,D. Ladeuze. L'Épître de Barnabé,1901,fre
oai:persee:article/bec_0373-6237_1901_num_62_1_448059,Bibliothèque de l'école des chartes,Le recueil d'anciennes écritures de Pierre Hamon (1566-1567),1901,fre
oai:persee:article/bec_0373-6237_1901_num_62_1_461157_t1_0280_0000_3,Bibliothèque de l'école des chartes,Chanoine Ulysse Chevalier. Étude critique sur l'origine du saint suaire de Lirey-Chambéry-Turin,1901,fre
oai:persee:article/befar_0257-4101_1986_mon_260_1_1238,Bibliothèque des Écoles françaises d'Athènes et de Rome,"Mare Nostrum. Les infrastructures, le dispositif et l'histoire de la marine militaire sous l'empire romain",1986,fre
oai:persee:article/befar_0257-4101_1983_mon_247_1_1210,Bibliothèque des Écoles françaises d'Athènes et de Rome,Albert de Mun. Catholicisme français et catholicisme romain du Syllabus au ralliement,1983,fre
oai:persee:article/befar_0257-4101_1981_mon_245_1_1209,Bibliothèque des Écoles françaises d'Athènes et de Rome,La gladiature en Occident des origines à la mort de Domitien,1981,fre
oai:persee:article/baip_1254-0714_1850_num_1_1_1290,Bulletin administratif de l'instruction publique,Dispositions concernant les membres de l'Ecole française d'Athènes,1850,fre
oai:persee:article/baip_1254-0714_1850_num_1_1_1294,Bulletin administratif de l'instruction publique,Conseil de l'Université [Nomination d'un conseiller honoraire de l'Université],1850,fre
oai:persee:article/baip_1254-0714_1850_num_1_1_1251,Bulletin administratif de l'instruction publique,Constitution des sections du Conseil de l'Université pour 1850,1850,fre
oai:persee:article/bastr_0572-7405_1885_num_2_1_2730_t1_0588_0000_2,"Bulletin astronomique, Observatoire de Paris",The Sidereal Messenger. Octobre et novembre 1885,1885,fre
oai:persee:article/bastr_0572-7405_1885_num_2_1_2730_t1_0573_0000_1,"Bulletin astronomique, Observatoire de Paris","Schols (Ch.-M.). — De half-convergente Reeks ter Berekening van de integraal ψ(Ζ) (Verslagen der K. Akademie van Wetenschappen, Naturkunde, 3, II). Amsterdam, 1885",1885,fre
oai:persee:article/bastr_0572-7405_1885_num_2_1_2730_t1_0580_0000_2,"Bulletin astronomique, Observatoire de Paris",Notes relatives à la photographie de la Couronne solaire,1885,fre
oai:persee:article/bcai_0259-7373_1984_num_1_1_876_t1_0419_0000_1,Bulletin critique des annales islamologiques,"Antonio Fernandez-Puertas, La fachada del palacio de Comares,, suivi d’une traduction en anglais de Douglas et Nieves Boyd",1984,fre
oai:persee:article/bcai_0259-7373_1984_num_1_1_875_t1_0412_0000_1,Bulletin critique des annales islamologiques,"Al-Bīrūnī, Ifrād al-maqāl fi amr al-ẓilāl. Traduction et commentaire d’E.S. Kennedy, The exhaustive treatise on shadows. Alep, Institute for the History of Arabic Science, 1976",1984,fre
oai:persee:article/bcai_0259-7373_1984_num_1_1_875_t1_0410_0000_3,Bulletin critique des annales islamologiques,"Camilo Álvarez de Morales y Ruiz-Matas, «El Ubro de la almohada» de Ibn Wāfid de Toledo. (Recetario médico drabe del siglo XI). Toledo, Instituto Provincial de Investi-gaciones y Estudios toledanos, 1980",1984,fre
oai:persee:article/helec_0758-7171_2000_num_36_1_1512,Bulletin d'histoire de l'électricité,"Exposition Volt(a) au musée des Arts et Métiers, Paris (2001)",2000,fre
oai:persee:article/helec_0758-7171_2000_num_36_1_1498,Bulletin d'histoire de l'électricité,Archives d’entreprises électriques en Espagne : l’exemple d’Iberdrola,2000,fre
oai:persee:article/helec_0758-7171_2000_num_36_1_1518,Bulletin d'histoire de l'électricité,Annonces,2000,fre
oai:persee:article/bch_0007-4217_1877_num_1_1_4511,Bulletin de Correspondance Hellénique,"Monnaies inédites en or et en argent frappées à Clarence, à l'imitation des monnaies vénitiennes, par Robert d'Anjou, prince du Péloponnèse (tav. I, II)",1877,fre
oai:persee:article/bch_0007-4217_1877_num_1_1_4500,Bulletin de Correspondance Hellénique,De quelques travaux de la science occidentale sur l'histoire du peuple grec au moyen-âge et sous la domination ottomane,1877,fre
oai:persee:article/bch_0007-4217_1877_num_1_1_4509,Bulletin de Correspondance Hellénique,Fragment de décret athénien,1877,fre
oai:persee:article/bavf_0001-4192_1948_num_101_2_10432,Bulletin de l'Académie Vétérinaire de France,De la valeur des réactions allergiques et de la réaction intradermique dans le diagnostic de la morve,1948,fre
oai:persee:article/bavf_0001-4192_1948_num_101_1_10417,Bulletin de l'Académie Vétérinaire de France,A propos des toxi-infections d’origine carnée,1948,fre
oai:persee:article/bavf_0001-4192_1948_num_101_1_10409,Bulletin de l'Académie Vétérinaire de France,Liste des anciens Présidents,1948,fre
oai:persee:article/bagf_0004-5322_1928_num_5_22_6377,Bulletin de l'Association de géographes français,Le transport du gaz à grande distance en Allemagne,1928,fre
oai:persee:article/bagf_0004-5322_1929_num_6_36_6442,Bulletin de l'Association de géographes français,Compte rendu de l'excursion d'Alsace,1929,fre
oai:persee:article/bagf_0004-5322_1926_num_3_8_6920,Bulletin de l'Association de géographes français,Vie de l'association,1926,fre
oai:persee:article/bude_0004-5527_1928_num_18_1_4641,Bulletin de l'Association Guillaume Budé,Sommaire,1928,fre
oai:persee:article/bude_0004-5527_1928_num_18_1_4503,Bulletin de l'Association Guillaume Budé,Liste de livres publiés d'octobre à décembre 1927,1928,fre
oai:persee:article/bude_0004-5527_1928_num_18_1_4493,Bulletin de l'Association Guillaume Budé,Euripide et l'Orphisme,1928,fre
oai:persee:article/befeo_0336-1519_1901_num_1_1_967,Bulletin de l'Ecole française d'Extrême-Orient,Journal asiatique,1901,fre
oai:persee:article/befeo_0336-1519_1901_num_1_1_979,Bulletin de l'Ecole française d'Extrême-Orient,Gioinale della Società Asiatica Italiana,1901,fre
oai:persee:article/befeo_0336-1519_1901_num_1_1_1041,Bulletin de l'Ecole française d'Extrême-Orient,Revue de l'Université de Bruxelles,1901,fre
oai:persee:article/bifea_0303-7495_1973_num_2_1_1427,Bulletin de l'Institut Français d’Études Andines,Un mythe de l'origine de la coca (Cajatambo),1973,fre
